model,optimizer,initial_lr,batch_size,seq_len,hidden_size,num_layers,dp_keep_prob,avg_wct,train_val,val_ppl
GRU,SGD_LR_SCHEDULE,10,20,35,1500,1,0.35,106.58,59.17991998755447,95.02064836633495
GRU,SGD_LR_SCHEDULE,10,20,35,1000,2,0.35,113.17,76.50647829001359,102.87855671538361
GRU,SGD_LR_SCHEDULE,10,20,20,1500,2,0.35,145.94,66.9441114092771,103.29787332672953
GRU,SGD_LR_SCHEDULE,10,20,50,1500,2,0.35,147.24,67.91044586805542,103.3969227677855
GRU,SGD_LR_SCHEDULE,10,20,35,2000,2,0.35,192.55,59.66003798426513,104.16563054420743
GRU,SGD_LR_SCHEDULE,10,50,35,1500,2,0.35,73.42,76.31869667364246,106.04559734378991
GRU,SGD_LR_SCHEDULE,10,20,35,1500,3,0.35,200.54,75.79233877014701,112.18951551704679
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.5,146.49,30.584396915509426,117.7759121199467
RNN,ADAM,0.0001,40,35,1500,2,0.35,53.83,131.71290900953687,149.45233221779165
RNN,ADAM,0.0001,20,35,1500,2,0.5,85.0,108.58739286161457,151.47389897020477
RNN,ADAM,0.0001,20,35,1500,1,0.35,66.97,114.07242221407326,152.7989106867731
RNN,ADAM,0.0001,20,50,1500,2,0.35,85.7,126.13017106945026,155.0006113582221
RNN,ADAM,0.0001,20,35,1000,2,0.35,65.99,132.5474948179351,156.41297140364412
RNN,ADAM,0.0001,20,35,2000,2,0.35,112.36,114.77885605356192,158.2209024479801
RNN,ADAM,0.0001,20,20,1500,2,0.35,88.13,125.75258857532594,162.14089806801863
RNN,ADAM,0.0001,20,35,1500,3,0.35,102.8,136.4455264154389,166.93102218720583
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,256,6,0.9,52.4,81.50094415126459,139.71084963905744
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.7,54.12,80.7955476898309,141.58549613078995
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,8,0.9,69.18,55.430614947284326,144.19345309748522
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,1024,6,0.9,90.51,71.23353142853969,150.99795645320413
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,4,0.9,37.74,68.21547344039331,151.85290069385977
TRANSFORMER,SGD_LR_SCHEDULE,20,64,35,512,6,0.9,96.78,80.55999340198885,155.3321680463948
TRANSFORMER,SGD_LR_SCHEDULE,20,128,20,512,6,0.9,88.84,55.927093782604494,163.49243617020701
TRANSFORMER,SGD_LR_SCHEDULE,20,128,50,512,6,0.9,49.8,110.13735423944503,175.00291623194244
